Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-September-2023,228.00,229.85,224.70,225.75,226.027030699656476931,1655784,43996,374251941.00,1045687,63.15,5.15,-2.25
27-September-2023,231.00,231.20,227.10,227.40,228.196824120083445343,1315352,34760,300159149.00,851734,64.75,4.10,-3.60
26-September-2023,231.00,231.75,230.00,230.45,230.783491872071285097,776151,10700,179122838.00,559427,72.08,1.75,-0.55
25-September-2023,229.90,230.80,227.50,229.70,229.204902219391119629,1425436,30555,326716919.00,697825,48.96,3.30,-0.20
22-September-2023,227.70,232.30,226.40,227.80,228.452538859913722011,1091356,17940,249323049.00,496610,45.50,5.90,0.10
21-September-2023,229.70,235.60,226.80,227.60,230.738507313382110588,2495152,51961,575727648.00,1380370,55.32,8.80,-2.10
20-September-2023,231.50,232.00,229.00,229.70,230.127732324138688895,1264903,21334,291089259.00,819210,64.76,3.00,-1.80
18-September-2023,240.00,240.90,230.00,232.90,235.479835897763987076,1875660,28005,441680109.00,1113041,59.34,10.90,-7.10
15-September-2023,244.35,244.70,237.75,239.35,241.082039283768601467,2211855,40383,533238514.00,1273114,57.56,6.95,-5.00
14-September-2023,242.00,244.55,241.20,242.60,242.735648339026006272,1518326,24949,368551846.00,744190,49.01,3.35,0.60
13-September-2023,244.20,247.80,236.65,240.20,241.538291833850413099,3305744,58696,798463759.00,1473530,44.57,11.15,-4.00
12-September-2023,250.55,252.00,240.70,244.25,246.134840036776244380,5059788,72243,1245390110.00,2641072,52.20,11.30,-6.30
11-September-2023,256.05,257.00,250.00,250.20,252.574190443135882344,4097118,57756,1034826262.00,2502253,61.07,7.00,-5.85
8-September-2023,252.00,255.00,249.65,253.30,252.680553718193788050,2252626,28105,569194785.00,961384,42.68,5.35,1.30
7-September-2023,251.85,257.25,251.25,251.65,253.525809897556773618,5811414,62341,1473343441.00,3449726,59.36,6.00,-0.20
6-September-2023,246.90,259.75,246.20,252.90,251.193064081909855984,11256765,126059,2827621292.00,4618965,41.03,13.55,6.00
5-September-2023,257.40,259.95,253.00,255.10,256.983354232052862019,6033065,88599,1550397280.00,3010156,49.89,6.95,-2.30
4-September-2023,254.00,267.00,249.00,253.45,256.653498929686848531,19882966,241437,5103032793.00,9949303,50.04,18.00,-0.55
1-September-2023,236.00,245.30,233.65,245.30,243.469954505053422170,5124745,43936,1247721432.00,5124745,100.00,11.65,9.30
31-August-2023,240.90,244.30,230.50,233.65,242.387260243731993233,29158831,131268,7067729158.00,29158831,100.00,13.80,-7.25
30-August-2023,225.00,232.70,222.90,232.70,232.151471456657572143,7240988,24083,1681006019.00,7240988,100.00,9.80,7.70
29-August-2023,211.65,222.20,207.00,221.65,212.288281126652595541,30807296,47568,6540027914.00,30807296,100.00,15.20,10.00
28-August-2023,216.00,222.85,207.95,211.65,215.728720181085510559,12349083,68550,2664051871.00,12349083,100.00,14.90,-4.35
25-August-2023,205.15,225.00,205.15,212.25,214.532903086936299265,34518205,230794,7405290728.00,34518205,100.00,19.85,7.10
24-August-2023,215.90,215.90,215.90,215.90,215.899998141747500650,430512,10782,92947540.00,430512,100.00,0.00,0.00
23-August-2023,227.25,227.25,227.25,227.25,227.249998681886484064,379330,10612,86202742.00,379330,100.00,0.00,0.00
22-August-2023,239.20,239.20,239.20,239.20,239.199999611126450012,514306,13412,123021995.00,514306,100.00,0.00,0.00
21-August-2023,265.00,278.20,251.75,251.75,258.113721092105426174,3551452,39091,916678491.00,3551452,100.00,26.45,-13.25
